Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
3.009054667,-14.81299019,12.9539566,-38.40969086,43.15708542
3.019084667,-14.87338829,12.86009216,-38.39137268,43.13348057
3.029114667,-14.74043941,12.95341492,-38.40265274,43.12580723
3.039144667,-14.75242233,12.83216095,-38.41057587,43.10070368
3.049174667,-14.58949471,12.87514496,-38.31745148,42.97499041
3.059205667,-14.57044601,12.80555725,-38.58486938,43.18648329
3.069235667,-14.54337883,12.66775513,-38.53182983,43.08925386
3.079265667,-14.4104681,12.63521576,-38.66884995,43.15773655
3.089295667,-14.41778946,12.67518616,-38.64651108,43.15189237
3.099325667,-14.37506294,12.79767609,-38.54573822,43.08360341
3.109356667,-14.56240273,12.82898712,-38.45314789,43.07308981
3.119386667,-14.44021416,12.78762817,-38.53865051,43.09606482
3.129416667,-14.30570984,12.88114929,-38.60325241,43.13685707
3.139446667,-14.15851974,12.74597931,-38.74317932,43.17357541
3.149476667,-14.0347805,12.55758667,-38.62521362,42.9717951
3.159506667,-14.03028011,12.56539154,-38.80129242,43.13094154
3.169537667,-13.97700691,12.52767944,-38.95710373,43.242981
3.179567667,-14.02652168,12.52008057,-38.88663483,43.19335708
3.189597667,-14.09563065,12.52906799,-38.78658676,43.12845535
3.199627667,-14.10149097,12.5094223,-38.76446533,43.10477313
3.209657667,-13.96741867,12.27038574,-38.97480774,43.18201928
3.219688667,-13.92182636,12.26706696,-38.87436295,43.07568079
3.229718667,-13.96193504,12.11523438,-38.84584808,43.01993082
3.239748667,-13.92339897,12.07094574,-38.86468506,43.01200431
3.249778667,-13.8988409,12.17131042,-38.78055954,42.95637757
3.259808667,-13.97556591,12.15561676,-38.90795517,43.09181403
3.269838667,-13.9683876,12.22759247,-38.79343033,43.00651237
3.279869667,-14.04585743,12.4569397,-38.72009659,43.03146915
3.289899667,-13.93653202,12.62182617,-38.67002487,42.99893306
3.299929667,-13.88313675,12.66104889,-38.8709259,43.17397973
3.309959667,-13.68147373,12.70381165,-38.79121017,43.05029083
3.319989667,-13.74945927,12.76744843,-38.77667618,43.07767386
3.330019667,-13.63245678,12.83345032,-38.86281586,43.137684
3.340050667,-13.10157299,12.67041016,-38.86460114,42.92607284
3.350080667,-12.98456955,12.70350647,-39.06142426,43.07868368
3.360110667,-12.84762192,12.71359253,-39.01831436,43.00146137
3.370140667,-12.6237278,12.78642273,-39.29217529,43.20562636
3.380170667,-12.53313065,12.76759338,-39.08806992,42.98799849
3.390201667,-12.53032398,13.08518219,-38.90440369,42.91600678
3.400231667,-12.54013538,13.30233765,-38.86452866,42.94949092
3.410261667,-12.49019241,13.27120209,-38.80599213,42.87230734
3.420291667,-12.48043251,13.43267822,-38.86779785,42.97561808
3.430321667,-12.32564926,13.61496735,-38.74161148,42.87425131
3.440352667,-12.13220024,13.85285187,-38.63542175,42.79938786
3.450382667,-11.95970821,14.02185059,-38.85270691,43.00209005
3.460412667,-11.77762604,13.9551239,-38.85171509,42.92917101
3.470442667,-11.50320435,13.89841461,-38.81390381,42.80197154
3.480472667,-11.27197266,14.04634094,-38.80715179,42.78261436
3.490502667,-10.88687897,14.01296234,-38.95671082,42.80785634
3.500533667,-10.63485718,14.06025696,-39.14667511,42.93312457
3.510563667,-10.16111565,14.01956177,-39.22309494,42.87478933
3.520593667,-10.01308632,13.91507721,-39.3196106,42.8943242
3.530623667,-9.716854095,13.83349609,-39.25155258,42.73718811
3.540653667,-9.667910576,13.88683319,-39.46788025,42.9421262
3.550683667,-9.732423782,13.88874054,-39.35916901,42.85745409
3.560714667,-9.848514557,13.9549942,-39.36684036,42.9125066
3.570744667,-9.89131546,14.20257568,-39.25718689,42.90312343
3.580774667,-9.812030792,14.21698761,-38.9856987,42.64133427
3.59080025,-9.985561371,14.32758331,-39.05649567,42.78318517
3.60083025,-9.958384514,14.43922424,-39.09249496,42.8472144
3.61086125,-9.895437241,14.50964355,-38.98542404,42.75877363
3.62089125,-9.937657356,14.41689301,-38.96099091,42.71489963
3.63092125,-9.777113914,14.4718399,-38.9131012,42.65273205
3.64095125,-9.633592606,14.32658386,-39.217453,42.84933759
3.65098125,-9.464569092,14.25235748,-39.29551697,42.85843459
3.66101125,-9.368171692,14.25374603,-39.27014923,42.81444309
3.67104225,-9.250198364,14.17179108,-39.4156456,42.89520894
3.68107225,-9.192650795,13.90428925,-39.29682159,42.68576198
3.69110225,-9.263763428,13.74924469,-39.37852478,42.72618935
3.70113225,-9.304765701,13.85470581,-39.42861176,42.81526553
3.71116225,-9.231443405,13.75865936,-39.36525345,42.7099922
3.72119325,-9.327485085,13.72911835,-39.33995056,42.69803718
3.73122325,-9.263147354,13.67171478,-39.24663162,42.57956996
3.74125325,-9.310539246,13.8552475,-39.29390717,42.6926828
3.75128325,-9.30399704,13.92780304,-39.27890778,42.70106151
3.76131325,-9.300605774,14.02256775,-39.08830261,42.55618727
3.77134325,-9.688829422,14.39968109,-38.84594727,42.54681951
3.78137425,-10.07240677,14.48067474,-38.81855011,42.6382827
3.79140425,-10.638978,14.63056946,-38.68064499,42.70168278
3.80143425,-11.35996914,14.46839142,-38.42376328,42.60010368
